,Protocollo,Municipio,NaturaIncidente,CondizioneAtmosferica,DataOraIncidente
0,5229862,Municipio X,C2,Pioggia in atto,2021-01-20
1,5251322,Municipio VI,C2,Sereno,2021-01-20
2,5256095,Municipio I,C5,Sereno,2021-02-01
3,5258568,Municipio X,C5,Nuvoloso,2021-02-01
4,5284889,Municipio I,C7,Sereno,2021-02-20
5,5285502,Municipio X,C1,Sereno,2021-02-20
6,5294457,Municipio V,C3,Sereno,2021-03-01
7,5301210,Municipio XI,C5,Sereno,2021-03-01
8,5303872,Municipio VI,C6,Sereno,2021-03-01
9,5310456,Municipio II,C1,Sereno,2021-03-10
10,5314220,Municipio II,C1,Nuvoloso,2021-03-10
11,5338818,Municipio V,C5,Sereno,2021-04-01
12,5339222,Municipio X,C4,Sereno,2021-04-01
13,5365851,Municipio V,C4,Nuvoloso,2021-04-20
14,5387647,Municipio II,C2,Sereno,2021-05-01
15,5395491,Municipio II,C2,Sereno,2021-05-01
16,5395497,Municipio X,C1,Sereno,2021-05-10
17,5397310,Municipio II,C2,Sereno,2021-05-10
18,5397399,Municipio II,C5,Sereno,2021-05-10
19,5406617,Municipio XV,C3,Sereno,2021-05-10
20,5417048,Municipio II,C5,Sereno,2021-05-20
21,5417404,Municipio V,,Sereno,2021-05-20
22,5422108,Municipio X,C5,Sereno,2021-05-20
23,5426702,Municipio XV,C1,Sereno,2021-06-01
24,5427580,Municipio VII,C2,Sereno,2021-06-01
25,5432639,Municipio VI,C1,Sereno,2021-06-01
26,5435815,Municipio X,C2,Sereno,2021-06-01
27,5436889,Municipio IV,C7,Sereno,2021-06-01
28,5452891,Municipio XII,C2,Sereno,2021-06-10
29,5474248,Municipio V,C2,Sereno,2021-06-10
30,5475699,Municipio XV,C2,Sereno,2021-07-01
31,5478767,Municipio IX,C7,Nebbia,2021-07-01
32,5478932,Municipio VIII,,Sereno,2021-07-01
33,5484694,Municipio II,C5,Sereno,2021-07-01
34,5490461,Municipio IV,C6,Sereno,2021-07-01
35,5495970,Municipio V,C5,Sereno,2021-07-10
36,5495990,Municipio VII,C1,Sereno,2021-07-10
37,5498121,Municipio XIV,C1,Sereno,2021-07-10
38,5499589,Municipio IV,C2,Sereno,2021-07-10
39,5501810,Municipio VI,C2,Sereno,2021-07-10
40,5508099,Municipio X,C2,Sereno,2021-07-20
41,5510730,Municipio IX,C2,Sereno,2021-07-20
42,5517812,Municipio XV,C2,Sereno,2021-07-20
43,5544741,Municipio IV,C5,Sereno,2021-08-10
44,5546691,Municipio VII,C2,Sereno,2021-08-10
45,5549654,Municipio VIII,C5,Sereno,2021-08-20
46,5558056,Municipio V,C2,Sereno,2021-09-01
47,5562195,Municipio II,C2,Sereno,2021-09-01
48,5564423,Municipio XV,C2,Sereno,2021-09-01
49,5571934,Municipio XIII,C7,Sereno,2021-09-10
50,5574857,Municipio VI,C7,Sereno,2021-09-10
51,5576246,Municipio VIII,C1,Sereno,2021-09-10
52,5580918,Municipio IV,C2,Sereno,2021-09-10
53,5582135,Municipio VIII,C4,Sereno,2021-09-10
54,5586986,Municipio VI,C2,Sereno,2021-09-20
55,5588331,Municipio XV,C2,Sereno,2021-09-20
56,5596734,Municipio IV,C2,Sereno,2021-09-20
57,5597811,Municipio VI,C5,Sereno,2021-09-20
58,5618423,Municipio XIV,C5,Sereno,2021-10-01
59,5633190,Municipio VIII,C7,Nuvoloso,2021-10-10
60,5645902,Municipio IV,C1,Sereno,2021-10-20
61,5647758,Municipio VII,C2,Sereno,2021-10-20
62,5650376,Municipio VIII,C5,Sereno,2021-10-20
63,5664216,Municipio XIV,C1,Nuvoloso,2021-11-01
64,5670571,Municipio XV,C7,Sereno,2021-11-01
65,5672217,Municipio XIV,C4,Sereno,2021-11-01
66,5688882,Municipio IV,C1,Pioggia in atto,2021-11-20
67,5690617,Municipio XV,C2,Nuvoloso,2021-11-20
68,5707344,Municipio VIII,C2,Nuvoloso,2021-12-01
69,5712085,Municipio XIV,C1,Pioggia in atto,2021-12-01
71,5721278,Municipio XIV,C2,Sereno,2021-12-01
72,5729688,Municipio VII,C5,Nuvoloso,2021-12-10
73,5745184,Municipio II,C2,Sereno,2021-12-20
74,5754637,Municipio XIII,C5,Sereno,2021-12-20
75,5754637,Municipio VIII,C5,Sereno,2021-12-20
76,5754906,Municipio IV,C5,Sereno,2022-01-01
