Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitude;Latitude;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
5986711;8;01/06/2022 02:40:00;Strada Urbana;VIA AMICO ASPERTINI;in prossimità;;del civico n.;117;;Veicolo in marcia contro ostacolo fisso;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;;0;0;0;0;12.6275;41.8757;-1;1;Autovettura privata;In marcia / fermata / arresto;;;;;;;
5986711;8;01/06/2022 02:40:00;Strada Urbana;VIA AMICO ASPERTINI;in prossimità;;del civico n.;117;;Veicolo in marcia contro ostacolo fisso;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;;0;0;0;0;12.6275;41.8757;-1;2;Autovettura privata;Sosta;;;;;;;
5986732;9;01/06/2022 01:40:00;Strada Urbana;VIA TUSCOLANA;all'intersezione semaforizzata con;VIA DELL'ARCO DI TRAVERTINO;VIA DELL'ARCO DI TRAVERTINO;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Sdrucciolevole (fango);Asfaltata;Assente;Grandine in atto;Intenso;Insufficiente;;1;0;0;1;12.5378;41.869;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5986732;9;01/06/2022 01:40:00;Strada Urbana;VIA TUSCOLANA;all'intersezione semaforizzata con;VIA DELL'ARCO DI TRAVERTINO;VIA DELL'ARCO DI TRAVERTINO;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Sdrucciolevole (fango);Asfaltata;Assente;Grandine in atto;Intenso;Insufficiente;;1;0;0;1;12.5378;41.869;-1;2;Monopattino elettrico;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
5986747;10;01/06/2022 06:30:00;Strada Urbana;VIALE ANTONIO CIAMARRA;in corrispondenza;;del civico n.;127;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;1;12.5907;41.8506;-1;;;;Pedone;F;Ricoverato;0;NON DECEDUTO;;
5986747;10;01/06/2022 06:30:00;Strada Urbana;VIALE ANTONIO CIAMARRA;in corrispondenza;;del civico n.;127;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;1;12.5907;41.8506;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987081;6;01/06/2022 08:30:00;Statale entro l'abitato;VIA CASILINA;in prossimità;;del civico n.;151;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;;1;0;0;1;12.5246;41.888;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987081;6;01/06/2022 08:30:00;Statale entro l'abitato;VIA CASILINA;in prossimità;;del civico n.;151;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;;1;0;0;1;12.5246;41.888;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
5987081;6;01/06/2022 08:30:00;Statale entro l'abitato;VIA CASILINA;in prossimità;;del civico n.;151;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;;1;0;0;1;12.5246;41.888;-1;3;Autovettura privata;Sosta;;;;;;;
5987089;16;01/06/2022 05:00:00;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;68B;;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;;1;0;1;1;12.459;41.8579;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;
5987089;16;01/06/2022 05:00:00;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;68B;;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;;1;0;1;1;12.459;41.8579;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Rimandato;0;NON DECEDUTO;Non accertato;
5987089;16;01/06/2022 05:00:00;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;68B;;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;;1;0;1;1;12.459;41.8579;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Deceduto sul posto;-1;;;
5987092;10;01/06/2022 08:10:00;Strada Urbana;VIALE MARCO FULVIO NOBILIORE;all'intersezione con;VIA FLAVIO STILICONE;VIA FLAVIO STILICONE;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;2;0;0;1;12.5636;41.8578;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
5987092;10;01/06/2022 08:10:00;Strada Urbana;VIALE MARCO FULVIO NOBILIORE;all'intersezione con;VIA FLAVIO STILICONE;VIA FLAVIO STILICONE;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;2;0;0;1;12.5636;41.8578;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
